,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Breakfast,"Wake Up To A Daily Selection Of  14 Varieties Of Cereals, Full Cream & Low Fat Milk, Soya Milk, Assorted Breads For Toasting Including Muffins & Crumpets, Hi Fibre Options, Spreads, Preserves, Poached And Fresh Fruit Pieces Accompanied By 100% Fruit Juice, Tea, Coffee",,,,,,
Dinner,Indian Style Buttered Chicken Served With Fragrant Rice,_ Split Portuguese Chicken and Chips,Pizza and Pasta Night,Moroccan Spiced Chicken Cutlets with Cous Cous,Crumbed Or Tempura Battered Fish Fillets With A Homemade Tartare Sauce,Grilled Chicken Breast Fillet With Sun Dried Tomato And Baby Spinach Sauce,Mango and Sweet Chilli Chicken Maryland's
Vegetarian,"Tomato ,Chick Pea And Tofu Vindaloo",Polenta & Vegetable Stacks With Marinated with a Peri Peri Sauce,Pizza and Pasta Night,"Spiced Vegetable, Broad Beans and Quinoa Stew", Cajun Tofu Steaks With Chunky Grilled Vegetables,Leek & Zucchini Burger On Pumpkin Rolls With Caramelised Onion,"Brown Rice, Spinach, Mushroom and Fetta Pilaf with Chia Seeds"
Vegetables,Stir Fried Vegetables Wok Tossed Asian Greens,Crunchy Roasted Potato,Pizza and Pasta Night,Cream Potatoes,French Fries,Mashed Potato,Roasted Paprika Potatoes 
,,Honey Pumpkin Wedges With Sesame,,Steamed Carrots,Steamed Broccoli,Baked Zucchini Sticks With Red Pepper,Cauliflower Mornay
,,Minted Peas,,Medley Of Beans,Sesame Carrot Batons With Parsley,,Corn Kernels with Chives
,"Daily Special Salad, Fresh  Green Garden Salad, Compound Salads  Plus A Daily Selection Of Whole Meal, Multi-grain And High Fiber White Breads, Butter, Margarine And Spreads, ",,,,,,
,Assorted Milks And Juices ,,,,,,
Dessert,Sticky Toffee Pudding With Butterscotch Sauce,Baked Berry Cheesecake With A Mango Sauce ,"Flavoured Ice Cream With Toppings, Cones & Sprinkles",Warmed Chocolate Self Serving Pudding,Coconut And Chocolate Sponge Lamingtons,Marshmallow Slice With Cherries,"Flavoured Ice Cream With Toppings, Cones & Sprinkles"
