,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Breakfast,"Wake Up To A Daily Selection Of  14 Varieties Of Cereals, Full Cream & Low Fat Milk, Soya Milk, Assorted Breads For Toasting Including Muffins & Crumpets, Hi Fibre Options, Spreads, Preserves, Poached And Fresh Fruit Pieces Accompanied By 100% Fruit Juice, Tea, Coffee",,,,,,
Dinner,Grilled Chicken Breast Supremes with a Spinach and Sun Dried Tomato Sauce,Indian Butter Chicken With Yoghurt And Basmati Rice Served With Poppadums  ,Seared Rump Steak Served With A Pink Peppercorn Sauce,Grilled Chicken With A Malaysian Curry Sauce And Basmati Rice,"Crumbed, Steamed Fish Or Tempura Battered Fish Fillets With A Homemade Tartare Sauce",Grilled Chicken Breast Fillet With A Sun Dried Tomato Sauce,Lamb Tagine with Spiced Cous Cous
Vegetarian,Polenta & Vegetable Stacks With Marinated Tofu,"Chick Pea, Potato And Pumpkin Dahl Served With Naan Bread",Homemade Vegetable And Tofu Parcels In Flaky Filo Pastry,Vegetable Nasi Goreng With Bean Shoots And Beans, Cajun Tofu Steaks With Chunky Grilled Vegetables,"Pumpkin, Pea, Lentil And Sweet Corn Patties With Ciabatta Rolls ","Chick Pea, Potato And Pumpkin Tagine with Baby Spinach"
Vegetables,Chive and Garlic Mash Potatoes,Spiced Vegetables,      Potato A La Crème,Steamed Jasmine Rice,French Fries,Mashed Potato,Spiced Vegetables
,Seasoned Beans,Mixed Beans,Steamed Carrots With Parsley,Steamed Carrots,Steamed Broccoli,Baked Zucchini Sticks With Red Pepper,Mixed Beans
,Steamed Corn,Fragrant Rice,Medley Of Beans,Medley Of Beans,Sesame Carrot Batons With Parsley ,,Fragrant Rice
,"Daily Special Salad, Fresh  Green Garden Salad, Compound Salads  Plus A Daily Selection Of Whole Meal, Multi-grain And High Fiber White Breads, Butter, Margarine And Spreads, ",,,,,,
,Assorted Milks And Juices,,,,,,
