,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Breakfast,"Wake Up To A Daily Selection Of  10 Varieties Of Cereals, Full Cream & Low Fat Milk, Soya Milk, Assorted Breads For Toasting Including Muffins & Crumpets, Hi Fibre Options, Spreads, Preserves, Poached And Fresh Fruit Pieces Accompanied By 100% Fruit Juice, Tea, Coffee",,,,,,
Dinner,Seared Chicken Breast With A Spinach And Seeded Mustard Sauce,Roasted Beef Rump  With A Brown Onion Gravy Or Quarter Chicken,Pizza & Pasta Night,Grilled Rump Steak With A Mushroom Sauce,Beef Ravioli With A Tomato Napoli Sauce,Lamb Rogan Josh Served With Basmati Rice And Poppadums,Grilled Chicken With A Peri Peri Sauce
Vegetarian,"Filled Peppers With Rice, Quinoa And Vegetables",Grilled Vegetables With Chick Peas In Potato Shells,Pizza & Pasta Night,"Spinach, Vegetable & Tofu Triangles",Spinach And Ricotta Ravioli With A Cream Pesto Sauce,Vegetable Biryani With Chick Peas Served With Naan Bread ,"Zucchini, Potato And Sun Dried Tomato Risotto Cakes With Lentils"
Vegetables,Mashed Potato,Baked Potatoes ,Roasted Zucchini Wedges,Mashed Potatoes,Garlic Bread,Asian Greens With Bean Shoots,Green Beans With Zucchini
,Carrot Batons,Sesame Pumpkin Pieces,Peas & Corn Medley,Medley Of Beans,Grilled Zucchinis,Honey Carrot Rings Minted Peas,Corn
,Butter Beans With Shallots,Green Beans,,Honey Carrots With Parsley,Butter Beans With Red Peppers,,Carrot Rings
,"Daily Special Salad, Fresh  Green Garden Salad, Compound Salads  Plus A Daily Selection Of Whole Meal, Multi-grain And High Fiber White Breads, Butter, Margarine And Spreads, ",,,,,,
,Assorted Milks And Juices,,,,,,
