,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Breakfast,"Wake Up To A Daily Selection Of  14 Varieties Of Cereals, Full Cream & Low Fat Milk, Soya Milk, Assorted Breads For Toasting Including Muffins & Crumpets, Hi Fibre Options, Spreads, Preserves, Poached And Fresh Fruit Pieces Accompanied By 100% Fruit Juice, Tea, Coffee",,,,,,
Dinner,Stir Fried Chicken In Black Bean Sauce With Jasmine Rice,Beef Or Chicken Enchiladas With A Tomato Cheese With Baked Mozzarella ,Thai Yellow Chicken and Potato Curry with ,Lamb Pasticcio with Mornay Sauce,Braised Chicken in Mushroom Sauce,Steak Sandwiches On Ciabatta Bread With Caramelised Onions And French Fries,Grilled Chicken Schnitzel Served With A Red Wine Sauce
,,,Fragrant Rice,,,,
Vegetarian,Wok Tossed Choy Sum & Tofu With Egg Noodles,Spicy Bean Enchiladas With A Tomato Sauce,Spicy Vegetable Dahl With Lentils And Vegetables, Baked Vegetable and Chick Pea Moussaka,"Zucchini, Cannellini Bean And Red Pepper Risotto",Grilled Vegetable And Tofu Skewers Served With Jasmine Rice And Sate Sauce,"Leek, Zucchini & Red Pepper Strudel Served With A Cream Pesto Sauce"
Vegetables,Steamed Rice ,Seared Zucchini,Sate Vegetables,"Medley Of Beans,",Pumpkin and Potato Mash ,French Fries,Baked Paprika Potatoes
,Asian Cut Carrots,Butter Beans With Shallots,"Steamed, Cauliflower Pilaf Rice",Vegetable Ratatouille,Corn Kernels,Broccoli Flourettes,Cauliflower Mornay
,Steamed Broccoli,Steamed Corn ,,,Broccoli Flourettes,Minted Peas ,Corn On The Cob
,"Daily Special Salad, Fresh  Green Garden Salad, Compound Salads  Plus A Daily Selection Of Whole Meal, Multi-grain And High Fiber White Breads, Butter, Margarine And Spreads, ",,,,,,
,Assorted Milks And Juices ,,,,,,
