,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Breakfast,"Wake Up To A Daily Selection Of  14 Varieties Of Cereals, Full Cream & Low Fat Milk, Soya Milk, Assorted Breads For Toasting Including Muffins & Crumpets, Hi Fibre Options, Spreads, Preserves, Poached And Fresh Fruit Pieces Accompanied By 100% Fruit Juice, Tea, Coffee",,,,,,
Dinner,Seared Chicken Breast With A Spinach And Sun Dried  Sauce,Roasted Topside of Beef or Baked Chicken Pieces,Pizza & Pasta Night,Grilled Rump Steak With A Diane Sauce,"Fish 3 Ways With Grilled, Crumbed And Tempura With Lemons And Aioli",Grilled Chicken Schnitzels Served With Sauce Of The Day,Malaysian Style Beef Curry With Basmati Rice
Vegetarian,"Potato, Spinach And Bean Cakes With A Corn Relish","Stuffed Peppers with Quinoa, Beans and Spinach",Pizza & Pasta Night,"Spinach, Vegetable & Tofu Triangles",Grilled Vegetable Kebabs With Tofu,"Corn, Kumera And Asparagus Hot Cakes With Fetta","Potato, Pumpkin, Chick Pea And Tofu Yellow Curry With Rice And Poppadums"
Vegetables,"Mashed Potato
Carrot Batons
Butter Beans With Shallots","Baked Paprika Potatoes
 Sesame Pumpkin Pieces
Medley Of Vegetables","Roasted Zucchini Wedges
Peas & Corn Medley","Mashed Potatoes
Medley Of Beans
Honey Carrots With Parsley","Mashed Potatoes
Honey Carrot Rings Minted Peas","Sautéed Potatoes Baked Zucchinis
Butter Beans With Grilled Onions","Green Beans With Zucchini
Corn Kernels
Carrot Rings"
,"Daily Special Salad, Fresh  Green Garden Salad, Compound Salads  Plus A Daily Selection Of Whole Meal, Multi-grain And High Fiber White Breads, Butter, Margarine And Spreads, 
Assorted Milks And Juices",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
